Datum,vakcína,věková skupina,pohlaví,počet dávek
2020-12-27,Comirnaty,18-24,Z,25
2020-12-27,Comirnaty,18-24,,4
2020-12-27,Comirnaty,18-24,M,23
2020-12-27,Comirnaty,25-29,Z,79
2020-12-27,Comirnaty,25-29,M,37
2020-12-27,Comirnaty,30-34,Z,66
2020-12-27,Comirnaty,30-34,,1
2020-12-27,Comirnaty,30-34,M,48
2020-12-27,Comirnaty,35-39,Z,75
2020-12-27,Comirnaty,35-39,M,45
2020-12-27,Comirnaty,35-39,,2
2020-12-27,Comirnaty,40-44,M,59
2020-12-27,Comirnaty,40-44,Z,118
2020-12-27,Comirnaty,40-44,,1
2020-12-27,Comirnaty,45-49,M,41
2020-12-27,Comirnaty,45-49,Z,126
2020-12-27,Comirnaty,50-54,M,45
2020-12-27,Comirnaty,50-54,,1
2020-12-27,Comirnaty,50-54,Z,102
2020-12-27,Comirnaty,55-59,M,34
2020-12-27,Comirnaty,55-59,,1
2020-12-27,Comirnaty,55-59,Z,75
2020-12-27,Comirnaty,60-64,Z,61
2020-12-27,Comirnaty,60-64,M,37
2020-12-27,Comirnaty,65-69,M,37
2020-12-27,Comirnaty,65-69,Z,44
2020-12-27,Comirnaty,70-74,Z,25
2020-12-27,Comirnaty,70-74,,1
2020-12-27,Comirnaty,70-74,M,26
2020-12-27,Comirnaty,75-79,M,7
2020-12-27,Comirnaty,75-79,Z,13
2020-12-27,Comirnaty,80+,Z,11
2020-12-27,Comirnaty,80+,M,15
2020-12-28,Comirnaty,18-24,Z,56
2020-12-28,Comirnaty,18-24,,1
2020-12-28,Comirnaty,18-24,M,20
2020-12-28,Comirnaty,25-29,M,88
2020-12-28,Comirnaty,25-29,,2
2020-12-28,Comirnaty,25-29,Z,105
2020-12-28,Comirnaty,30-34,M,108
2020-12-28,Comirnaty,30-34,Z,118
2020-12-28,Comirnaty,30-34,,3
2020-12-28,Comirnaty,35-39,M,85
2020-12-28,Comirnaty,35-39,Z,131
2020-12-28,Comirnaty,35-39,,1
2020-12-28,Comirnaty,40-44,Z,206
2020-12-28,Comirnaty,40-44,M,91
2020-12-28,Comirnaty,45-49,M,97
2020-12-28,Comirnaty,45-49,Z,227
2020-12-28,Comirnaty,50-54,Z,179
2020-12-28,Comirnaty,50-54,M,61
2020-12-28,Comirnaty,55-59,Z,167
2020-12-28,Comirnaty,55-59,M,37
2020-12-28,Comirnaty,60-64,Z,132
2020-12-28,Comirnaty,60-64,M,49
2020-12-28,Comirnaty,65-69,M,61
2020-12-28,Comirnaty,65-69,Z,75
2020-12-28,Comirnaty,70-74,M,50
2020-12-28,Comirnaty,70-74,Z,31
2020-12-28,Comirnaty,75-79,Z,14
2020-12-28,Comirnaty,75-79,M,11
2020-12-28,Comirnaty,80+,Z,67
2020-12-28,Comirnaty,80+,M,33
2020-12-29,Comirnaty,16-17,M,1
2020-12-29,Comirnaty,18-24,Z,71
2020-12-29,Comirnaty,18-24,,2
2020-12-29,Comirnaty,18-24,M,34
2020-12-29,Comirnaty,25-29,M,106
2020-12-29,Comirnaty,25-29,Z,198
2020-12-29,Comirnaty,25-29,,4
2020-12-29,Comirnaty,30-34,Z,151
2020-12-29,Comirnaty,30-34,,1
2020-12-29,Comirnaty,30-34,M,125
2020-12-29,Comirnaty,35-39,Z,207
2020-12-29,Comirnaty,35-39,M,118
2020-12-29,Comirnaty,40-44,M,107
2020-12-29,Comirnaty,40-44,Z,325
2020-12-29,Comirnaty,45-49,Z,364
2020-12-29,Comirnaty,45-49,,1
2020-12-29,Comirnaty,45-49,M,96
2020-12-29,Comirnaty,50-54,M,82
2020-12-29,Comirnaty,50-54,Z,277
2020-12-29,Comirnaty,50-54,,1
2020-12-29,Comirnaty,55-59,Z,276
2020-12-29,Comirnaty,55-59,M,62
2020-12-29,Comirnaty,60-64,M,1
2020-12-29,Comirnaty,60-64,M,82
2020-12-29,Comirnaty,60-64,Z,163
2020-12-29,Comirnaty,65-69,Z,88
2020-12-29,Comirnaty,65-69,M,89
2020-12-29,Comirnaty,70-74,Z,57
2020-12-29,Comirnaty,70-74,,1
2020-12-29,Comirnaty,70-74,M,44
2020-12-29,Comirnaty,75-79,Z,38
2020-12-29,Comirnaty,75-79,M,18
2020-12-29,Comirnaty,80+,M,57
2020-12-29,Comirnaty,80+,Z,224
2020-12-30,Comirnaty,18-24,,2
2020-12-30,Comirnaty,18-24,Z,76
2020-12-30,Comirnaty,18-24,M,38
2020-12-30,Comirnaty,25-29,Z,202
2020-12-30,Comirnaty,25-29,M,110
2020-12-30,Comirnaty,25-29,,2
2020-12-30,Comirnaty,30-34,Z,148
2020-12-30,Comirnaty,30-34,M,116
2020-12-30,Comirnaty,35-39,,1
2020-12-30,Comirnaty,35-39,Z,204
2020-12-30,Comirnaty,35-39,M,113
2020-12-30,Comirnaty,40-44,Z,371
2020-12-30,Comirnaty,40-44,M,125
2020-12-30,Comirnaty,45-49,M,102
2020-12-30,Comirnaty,45-49,Z,352
2020-12-30,Comirnaty,50-54,M,84
2020-12-30,Comirnaty,50-54,Z,286
2020-12-30,Comirnaty,55-59,Z,293
2020-12-30,Comirnaty,55-59,M,86
2020-12-30,Comirnaty,60-64,Z,203
2020-12-30,Comirnaty,60-64,M,91
2020-12-30,Comirnaty,65-69,M,75
2020-12-30,Comirnaty,65-69,Z,90
2020-12-30,Comirnaty,70-74,Z,45
2020-12-30,Comirnaty,70-74,M,49
2020-12-30,Comirnaty,75-79,M,22
2020-12-30,Comirnaty,75-79,Z,43
2020-12-30,Comirnaty,80+,M,54
2020-12-30,Comirnaty,80+,Z,137
2020-12-31,Comirnaty,16-17,Z,1
2020-12-31,Comirnaty,18-24,Z,32
2020-12-31,Comirnaty,18-24,M,13
2020-12-31,Comirnaty,25-29,Z,67
2020-12-31,Comirnaty,25-29,M,44
2020-12-31,Comirnaty,30-34,M,50
2020-12-31,Comirnaty,30-34,Z,53
2020-12-31,Comirnaty,30-34,,1
2020-12-31,Comirnaty,35-39,Z,82
2020-12-31,Comirnaty,35-39,,1
2020-12-31,Comirnaty,35-39,M,36
2020-12-31,Comirnaty,40-44,M,49
2020-12-31,Comirnaty,40-44,Z,111
2020-12-31,Comirnaty,45-49,Z,130
2020-12-31,Comirnaty,45-49,M,34
2020-12-31,Comirnaty,50-54,Z,101
2020-12-31,Comirnaty,50-54,M,24
2020-12-31,Comirnaty,55-59,M,31
2020-12-31,Comirnaty,55-59,Z,80
2020-12-31,Comirnaty,60-64,M,36
2020-12-31,Comirnaty,60-64,Z,49
2020-12-31,Comirnaty,65-69,M,29
2020-12-31,Comirnaty,65-69,Z,32
2020-12-31,Comirnaty,70-74,Z,26
2020-12-31,Comirnaty,70-74,M,26
2020-12-31,Comirnaty,75-79,M,26
2020-12-31,Comirnaty,75-79,Z,31
2020-12-31,Comirnaty,80+,Z,88
2020-12-31,Comirnaty,80+,M,29
2021-01-01,Comirnaty,18-24,M,2
2021-01-01,Comirnaty,18-24,Z,5
2021-01-01,Comirnaty,25-29,M,10
2021-01-01,Comirnaty,25-29,Z,7
2021-01-01,Comirnaty,30-34,M,6
2021-01-01,Comirnaty,30-34,Z,10
2021-01-01,Comirnaty,35-39,M,8
2021-01-01,Comirnaty,35-39,Z,20
2021-01-01,Comirnaty,40-44,Z,38
2021-01-01,Comirnaty,40-44,M,10
2021-01-01,SPIKEVAX,40-44,,1
2021-01-01,Comirnaty,45-49,M,4
2021-01-01,Comirnaty,45-49,Z,37
2021-01-01,Comirnaty,50-54,,1
2021-01-01,Comirnaty,50-54,Z,28
2021-01-01,Comirnaty,50-54,M,7
2021-01-01,Comirnaty,55-59,Z,23
2021-01-01,Comirnaty,55-59,M,5
2021-01-01,Comirnaty,60-64,Z,19
2021-01-01,Comirnaty,60-64,M,7
2021-01-01,Comirnaty,65-69,Z,5
2021-01-01,Comirnaty,65-69,M,6
2021-01-01,Comirnaty,70-74,M,4
2021-01-01,Comirnaty,70-74,Z,2
2021-01-01,Comirnaty,75-79,M,3
2021-01-01,Comirnaty,80+,Z,2
2021-01-02,Comirnaty,18-24,Z,21
2021-01-02,Comirnaty,18-24,M,16
2021-01-02,Comirnaty,25-29,,1
2021-01-02,Comirnaty,25-29,Z,65
2021-01-02,Comirnaty,25-29,M,58
2021-01-02,Comirnaty,30-34,M,52
2021-01-02,Comirnaty,30-34,Z,54
2021-01-02,Comirnaty,35-39,M,48
2021-01-02,Comirnaty,35-39,Z,83
2021-01-02,Comirnaty,40-44,M,57
2021-01-02,Comirnaty,40-44,Z,151
2021-01-02,Comirnaty,45-49,M,56
2021-01-02,Comirnaty,45-49,Z,139
2021-01-02,Comirnaty,50-54,Z,106
2021-01-02,Comirnaty,50-54,M,40
2021-01-02,Comirnaty,55-59,M,27
2021-01-02,Comirnaty,55-59,Z,99
2021-01-02,Comirnaty,60-64,Z,77
2021-01-02,Comirnaty,60-64,M,30
2021-01-02,Comirnaty,65-69,M,23
2021-01-02,Comirnaty,65-69,Z,27
2021-01-02,Comirnaty,70-74,Z,12
2021-01-02,Comirnaty,70-74,M,12
2021-01-02,Comirnaty,75-79,Z,10
2021-01-02,Comirnaty,75-79,M,5
2021-01-02,Comirnaty,80+,Z,4
2021-01-02,Comirnaty,80+,M,8
2021-01-03,Comirnaty,16-17,M,1
2021-01-03,SPIKEVAX,18-24,M,1
2021-01-03,Comirnaty,18-24,M,7
2021-01-03,Comirnaty,18-24,Z,19
2021-01-03,Comirnaty,18-24,,1
2021-01-03,Comirnaty,25-29,,1
2021-01-03,Comirnaty,25-29,M,24
2021-01-03,Comirnaty,25-29,Z,49
2021-01-03,Comirnaty,30-34,M,42
2021-01-03,Comirnaty,30-34,Z,43
2021-01-03,Comirnaty,35-39,M,39
2021-01-03,Comirnaty,35-39,Z,53
2021-01-03,Comirnaty,40-44,M,56
2021-01-03,Comirnaty,40-44,Z,96
2021-01-03,Comirnaty,45-49,M,40
2021-01-03,Comirnaty,45-49,Z,99
2021-01-03,Comirnaty,50-54,Z,63
2021-01-03,Comirnaty,50-54,M,50
2021-01-03,Comirnaty,50-54,,1
2021-01-03,Comirnaty,55-59,Z,70
2021-01-03,Comirnaty,55-59,,1
2021-01-03,Comirnaty,55-59,M,28
2021-01-03,Comirnaty,60-64,,1
2021-01-03,Comirnaty,60-64,Z,46
2021-01-03,Comirnaty,60-64,M,16
2021-01-03,Comirnaty,65-69,Z,25
2021-01-03,Comirnaty,65-69,M,17
2021-01-03,Comirnaty,70-74,M,7
2021-01-03,Comirnaty,70-74,Z,14
2021-01-03,Comirnaty,75-79,Z,4
2021-01-03,Comirnaty,75-79,M,5
2021-01-03,Comirnaty,80+,Z,3
2021-01-03,Comirnaty,80+,M,1
2021-01-04,Comirnaty,18-24,M,23
2021-01-04,Comirnaty,18-24,,4
2021-01-04,Comirnaty,18-24,Z,70
2021-01-04,SPIKEVAX,18-24,Z,1
2021-01-04,Comirnaty,25-29,M,108
2021-01-04,Comirnaty,25-29,,2
2021-01-04,SPIKEVAX,25-29,M,1
2021-01-04,Comirnaty,25-29,Z,169
2021-01-04,SPIKEVAX,30-34,Z,1
2021-01-04,Comirnaty,30-34,M,118
2021-01-04,Comirnaty,30-34,Z,175
2021-01-04,Comirnaty,35-39,M,123
2021-01-04,Comirnaty,35-39,Z,232
2021-01-04,SPIKEVAX,35-39,M,2
2021-01-04,Comirnaty,35-39,,1
2021-01-04,Comirnaty,40-44,Z,377
2021-01-04,Comirnaty,40-44,,1
2021-01-04,Comirnaty,40-44,M,145
2021-01-04,SPIKEVAX,40-44,,1
2021-01-04,SPIKEVAX,40-44,M,1
2021-01-04,Comirnaty,45-49,,1
2021-01-04,Comirnaty,45-49,M,158
2021-01-04,Comirnaty,45-49,Z,424
2021-01-04,Comirnaty,50-54,M,123
2021-01-04,SPIKEVAX,50-54,M,1
2021-01-04,Comirnaty,50-54,Z,285
2021-01-04,Comirnaty,55-59,Z,308
2021-01-04,Comirnaty,55-59,M,112
2021-01-04,Comirnaty,60-64,Z,178
2021-01-04,Comirnaty,60-64,M,113
2021-01-04,Comirnaty,65-69,Z,115
2021-01-04,Comirnaty,65-69,M,80
2021-01-04,Comirnaty,65-69,,1
2021-01-04,Comirnaty,70-74,Z,39
2021-01-04,Comirnaty,70-74,M,54
2021-01-04,Comirnaty,75-79,M,16
2021-01-04,Comirnaty,75-79,Z,19
2021-01-04,Comirnaty,80+,Z,17
2021-01-04,Comirnaty,80+,M,15
2021-01-05,Comirnaty,18-24,Z,90
2021-01-05,Comirnaty,18-24,,2
2021-01-05,Comirnaty,18-24,M,47
2021-01-05,Comirnaty,25-29,,6
2021-01-05,Comirnaty,25-29,M,152
2021-01-05,SPIKEVAX,25-29,Z,1
2021-01-05,Comirnaty,25-29,Z,208
2021-01-05,Comirnaty,30-34,M,179
2021-01-05,Comirnaty,30-34,Z,192
2021-01-05,Comirnaty,30-34,M,1
2021-01-05,Comirnaty,35-39,M,163
2021-01-05,Comirnaty,35-39,Z,300
2021-01-05,SPIKEVAX,40-44,M,1
2021-01-05,Comirnaty,40-44,M,185
2021-01-05,Comirnaty,40-44,Z,462
2021-01-05,Comirnaty,45-49,Z,1
2021-01-05,Comirnaty,45-49,Z,492
2021-01-05,Comirnaty,45-49,M,206
2021-01-05,Comirnaty,50-54,M,155
2021-01-05,Comirnaty,50-54,Z,415
2021-01-05,Comirnaty,55-59,Z,402
2021-01-05,Comirnaty,55-59,M,113
2021-01-05,Comirnaty,60-64,M,106
2021-01-05,Comirnaty,60-64,Z,232
2021-01-05,Comirnaty,65-69,M,107
2021-01-05,SPIKEVAX,65-69,M,1
2021-01-05,Comirnaty,65-69,Z,117
2021-01-05,Comirnaty,70-74,M,50
2021-01-05,Comirnaty,70-74,Z,50
2021-01-05,Comirnaty,75-79,M,21
2021-01-05,Comirnaty,75-79,Z,29
2021-01-05,Comirnaty,80+,Z,21
2021-01-05,Comirnaty,80+,M,20
2021-01-06,Comirnaty,16-17,Z,3
2021-01-06,Comirnaty,18-24,,1
2021-01-06,Comirnaty,18-24,M,40
2021-01-06,Comirnaty,18-24,Z,127
2021-01-06,SPIKEVAX,25-29,M,1
2021-01-06,Comirnaty,25-29,Z,304
2021-01-06,Comirnaty,25-29,M,169
2021-01-06,Comirnaty,25-29,,9
2021-01-06,Comirnaty,30-34,Z,263
2021-01-06,Comirnaty,30-34,M,181
2021-01-06,Comirnaty,30-34,,1
2021-01-06,Comirnaty,35-39,M,190
2021-01-06,Comirnaty,35-39,Z,379
2021-01-06,Comirnaty,40-44,M,216
2021-01-06,Comirnaty,40-44,,2
2021-01-06,Comirnaty,40-44,Z,630
2021-01-06,Comirnaty,45-49,Z,692
2021-01-06,Comirnaty,45-49,M,233
2021-01-06,Comirnaty,50-54,Z,552
2021-01-06,Comirnaty,50-54,M,1
2021-01-06,SPIKEVAX,50-54,,1
2021-01-06,Comirnaty,50-54,M,164
2021-01-06,SPIKEVAX,55-59,M,1
2021-01-06,Comirnaty,55-59,Z,506
2021-01-06,Comirnaty,55-59,M,146
2021-01-06,Comirnaty,60-64,Z,319
2021-01-06,Comirnaty,60-64,,2
2021-01-06,Comirnaty,60-64,M,138
2021-01-06,Comirnaty,65-69,Z,150
2021-01-06,Comirnaty,65-69,M,130
2021-01-06,Comirnaty,70-74,Z,77
2021-01-06,Comirnaty,70-74,,1
2021-01-06,Comirnaty,70-74,M,83
2021-01-06,Comirnaty,75-79,M,37
2021-01-06,Comirnaty,75-79,Z,36
2021-01-06,Comirnaty,80+,M,28
2021-01-06,Comirnaty,80+,Z,39
2021-01-07,Comirnaty,16-17,Z,2
2021-01-07,Comirnaty,16-17,M,1
2021-01-07,SPIKEVAX,18-24,,1
2021-01-07,Comirnaty,18-24,M,55
2021-01-07,Comirnaty,18-24,Z,192
2021-01-07,Comirnaty,18-24,,2
2021-01-07,Comirnaty,18-24,,4
2021-01-07,Comirnaty,25-29,M,183
2021-01-07,Comirnaty,25-29,Z,432
2021-01-07,Comirnaty,25-29,,8
2021-01-07,Comirnaty,30-34,M,227
2021-01-07,Comirnaty,30-34,Z,349
2021-01-07,Comirnaty,30-34,,1
2021-01-07,Comirnaty,35-39,Z,523
2021-01-07,Comirnaty,35-39,M,208
2021-01-07,Comirnaty,40-44,M,251
2021-01-07,Comirnaty,40-44,Z,751
2021-01-07,Comirnaty,40-44,,3
2021-01-07,Comirnaty,45-49,M,273
2021-01-07,Comirnaty,45-49,Z,885
2021-01-07,Comirnaty,45-49,,1
2021-01-07,Comirnaty,50-54,Z,712
2021-01-07,Comirnaty,50-54,M,206
2021-01-07,Comirnaty,55-59,Z,649
2021-01-07,Comirnaty,55-59,M,184
2021-01-07,Comirnaty,55-59,,1
2021-01-07,Comirnaty,60-64,M,216
2021-01-07,Comirnaty,60-64,Z,448
2021-01-07,Comirnaty,65-69,M,155
2021-01-07,Comirnaty,65-69,Z,218
2021-01-07,Comirnaty,70-74,M,120
2021-01-07,Comirnaty,70-74,Z,139
2021-01-07,SPIKEVAX,75-79,Z,1
2021-01-07,Comirnaty,75-79,Z,120
2021-01-07,Comirnaty,75-79,M,76
2021-01-07,Comirnaty,80+,Z,298
2021-01-07,Comirnaty,80+,M,105
2021-01-08,Comirnaty,16-17,Z,3
2021-01-08,Comirnaty,16-17,M,1
2021-01-08,Comirnaty,18-24,Z,246
2021-01-08,Comirnaty,18-24,M,70
2021-01-08,Comirnaty,25-29,Z,460
2021-01-08,Comirnaty,25-29,M,224
2021-01-08,Comirnaty,25-29,,7
2021-01-08,Comirnaty,30-34,,1
2021-01-08,Comirnaty,30-34,M,255
2021-01-08,Comirnaty,30-34,,1
2021-01-08,Comirnaty,30-34,Z,434
2021-01-08,Comirnaty,35-39,M,250
2021-01-08,Comirnaty,35-39,Z,620
2021-01-08,Comirnaty,40-44,,3
2021-01-08,Comirnaty,40-44,M,320
2021-01-08,Comirnaty,40-44,Z,963
2021-01-08,Comirnaty,45-49,Z,1133
2021-01-08,Comirnaty,45-49,M,342
2021-01-08,Comirnaty,50-54,M,229
2021-01-08,Comirnaty,50-54,,1
2021-01-08,Comirnaty,50-54,Z,902
2021-01-08,Comirnaty,55-59,M,1
2021-01-08,Comirnaty,55-59,Z,775
2021-01-08,Comirnaty,55-59,M,241
2021-01-08,Comirnaty,55-59,,1
2021-01-08,Comirnaty,60-64,Z,511
2021-01-08,Comirnaty,60-64,M,245
2021-01-08,Comirnaty,65-69,M,190
2021-01-08,Comirnaty,65-69,Z,258
2021-01-08,SPIKEVAX,70-74,M,1
2021-01-08,Comirnaty,70-74,Z,161
2021-01-08,Comirnaty,70-74,M,132
2021-01-08,Comirnaty,75-79,Z,119
2021-01-08,Comirnaty,75-79,M,96
2021-01-08,Comirnaty,80+,Z,686
2021-01-08,Comirnaty,80+,M,171
2021-01-09,Comirnaty,16-17,Z,1
2021-01-09,Comirnaty,18-24,,1
2021-01-09,Comirnaty,18-24,M,15
2021-01-09,Comirnaty,18-24,Z,37
2021-01-09,Comirnaty,25-29,Z,65
2021-01-09,Comirnaty,25-29,M,39
2021-01-09,Comirnaty,30-34,M,49
2021-01-09,Comirnaty,30-34,Z,64
2021-01-09,Comirnaty,35-39,M,63
2021-01-09,Comirnaty,35-39,Z,112
2021-01-09,Comirnaty,40-44,Z,140
2021-01-09,Comirnaty,40-44,M,74
2021-01-09,Comirnaty,45-49,Z,191
2021-01-09,SPIKEVAX,45-49,,1
2021-01-09,Comirnaty,45-49,M,77
2021-01-09,SPIKEVAX,45-49,M,1
2021-01-09,Comirnaty,50-54,Z,148
2021-01-09,Comirnaty,50-54,M,47
2021-01-09,Comirnaty,55-59,Z,143
2021-01-09,Comirnaty,55-59,M,67
2021-01-09,Comirnaty,60-64,M,57
2021-01-09,Comirnaty,60-64,Z,127
2021-01-09,Comirnaty,65-69,Z,72
2021-01-09,Comirnaty,65-69,,1
2021-01-09,Comirnaty,65-69,M,74
2021-01-09,Comirnaty,70-74,M,58
2021-01-09,Comirnaty,70-74,Z,51
2021-01-09,Comirnaty,75-79,M,33
2021-01-09,Comirnaty,75-79,Z,35
2021-01-09,Comirnaty,75-79,Z,1
2021-01-09,Comirnaty,80+,Z,138
2021-01-09,Comirnaty,80+,M,48
2021-01-10,Comirnaty,18-24,,1
2021-01-10,Comirnaty,18-24,M,16
2021-01-10,Comirnaty,18-24,Z,43
2021-01-10,Comirnaty,25-29,Z,59
2021-01-10,Comirnaty,25-29,M,37
2021-01-10,Comirnaty,25-29,,1
2021-01-10,Comirnaty,30-34,Z,66
2021-01-10,Comirnaty,30-34,M,47
2021-01-10,Comirnaty,35-39,M,70
2021-01-10,Comirnaty,35-39,Z,91
2021-01-10,Comirnaty,35-39,,1
2021-01-10,Comirnaty,40-44,Z,137
2021-01-10,Comirnaty,40-44,M,66
2021-01-10,Comirnaty,45-49,Z,155
2021-01-10,Comirnaty,45-49,M,70
2021-01-10,Comirnaty,50-54,Z,130
2021-01-10,Comirnaty,50-54,M,60
2021-01-10,Comirnaty,55-59,Z,132
2021-01-10,Comirnaty,55-59,M,57
2021-01-10,Comirnaty,60-64,M,49
2021-01-10,Comirnaty,60-64,M,1
2021-01-10,Comirnaty,60-64,Z,94
2021-01-10,Comirnaty,65-69,M,69
2021-01-10,Comirnaty,65-69,Z,62
2021-01-10,Comirnaty,70-74,Z,50
2021-01-10,Comirnaty,70-74,M,39
2021-01-10,Comirnaty,75-79,M,29
2021-01-10,Comirnaty,75-79,Z,31
2021-01-10,Comirnaty,80+,Z,70
2021-01-10,Comirnaty,80+,M,37
2021-01-10,Comirnaty,80+,,1
2021-01-11,Comirnaty,16-17,Z,2
2021-01-11,Comirnaty,18-24,,2
2021-01-11,Comirnaty,18-24,M,112
2021-01-11,Comirnaty,18-24,Z,256
2021-01-11,Comirnaty,18-24,,1
2021-01-11,Comirnaty,25-29,M,245
2021-01-11,Comirnaty,25-29,,4
2021-01-11,Comirnaty,25-29,Z,457
2021-01-11,Comirnaty,25-29,M,1
2021-01-11,Comirnaty,30-34,,1
2021-01-11,Comirnaty,30-34,Z,374
2021-01-11,Comirnaty,30-34,M,289
2021-01-11,Comirnaty,35-39,Z,577
2021-01-11,Comirnaty,35-39,M,306
2021-01-11,Comirnaty,35-39,,2
2021-01-11,Comirnaty,40-44,Z,882
2021-01-11,Comirnaty,40-44,M,457
2021-01-11,Comirnaty,40-44,,1
2021-01-11,Comirnaty,45-49,Z,1024
2021-01-11,Comirnaty,45-49,,1
2021-01-11,Comirnaty,45-49,M,418
2021-01-11,Comirnaty,50-54,Z,767
2021-01-11,Comirnaty,50-54,M,289
2021-01-11,Comirnaty,55-59,M,304
2021-01-11,Comirnaty,55-59,Z,733
2021-01-11,Comirnaty,60-64,M,266
2021-01-11,Comirnaty,60-64,Z,529
2021-01-11,Comirnaty,65-69,M,195
2021-01-11,Comirnaty,65-69,Z,267
2021-01-11,Comirnaty,70-74,M,114
2021-01-11,Comirnaty,70-74,Z,152
2021-01-11,Comirnaty,75-79,M,73
2021-01-11,Comirnaty,75-79,Z,119
2021-01-11,Comirnaty,80+,Z,500
2021-01-11,Comirnaty,80+,M,138
2021-01-12,Comirnaty,16-17,Z,1
2021-01-12,Comirnaty,18-24,Z,313
2021-01-12,Comirnaty,18-24,,5
2021-01-12,Comirnaty,18-24,M,131
2021-01-12,Comirnaty,18-24,,1
2021-01-12,SPIKEVAX,25-29,Z,1
2021-01-12,Comirnaty,25-29,,10
2021-01-12,Comirnaty,25-29,Z,433
2021-01-12,Comirnaty,25-29,M,263
2021-01-12,Comirnaty,30-34,,1
2021-01-12,Comirnaty,30-34,Z,482
2021-01-12,Comirnaty,30-34,M,347
2021-01-12,Comirnaty,35-39,,4
2021-01-12,Comirnaty,35-39,M,395
2021-01-12,Comirnaty,35-39,Z,747
2021-01-12,Comirnaty,40-44,M,490
2021-01-12,Comirnaty,40-44,,1
2021-01-12,Comirnaty,40-44,Z,1101
2021-01-12,Comirnaty,45-49,M,452
2021-01-12,Comirnaty,45-49,Z,1371
2021-01-12,Comirnaty,50-54,Z,954
2021-01-12,Comirnaty,50-54,,1
2021-01-12,Comirnaty,50-54,M,360
2021-01-12,SPIKEVAX,50-54,Z,1
2021-01-12,Comirnaty,55-59,,1
2021-01-12,Comirnaty,55-59,,2
2021-01-12,Comirnaty,55-59,Z,940
2021-01-12,Comirnaty,55-59,M,330
2021-01-12,SPIKEVAX,55-59,M,1
2021-01-12,Comirnaty,60-64,Z,677
2021-01-12,Comirnaty,60-64,M,332
2021-01-12,Comirnaty,65-69,M,315
2021-01-12,Comirnaty,65-69,Z,391
2021-01-12,Comirnaty,70-74,M,1
2021-01-12,Comirnaty,70-74,Z,253
2021-01-12,Comirnaty,70-74,M,219
2021-01-12,Comirnaty,75-79,Z,291
2021-01-12,Comirnaty,75-79,M,146
2021-01-12,Comirnaty,80+,Z,1329
2021-01-12,SPIKEVAX,80+,M,1
2021-01-12,Comirnaty,80+,M,367
2021-01-13,Comirnaty,16-17,M,3
2021-01-13,Comirnaty,16-17,Z,4
2021-01-13,Comirnaty,18-24,M,106
2021-01-13,Comirnaty,18-24,,3
2021-01-13,Comirnaty,18-24,Z,278
2021-01-13,Comirnaty,25-29,M,224
2021-01-13,Comirnaty,25-29,,4
2021-01-13,Comirnaty,25-29,Z,424
2021-01-13,Comirnaty,30-34,Z,455
2021-01-13,Comirnaty,30-34,M,327
2021-01-13,Comirnaty,35-39,M,361
2021-01-13,Comirnaty,35-39,,1
2021-01-13,Comirnaty,35-39,Z,768
2021-01-13,Comirnaty,40-44,Z,1033
2021-01-13,Comirnaty,40-44,M,437
2021-01-13,Comirnaty,40-44,,2
2021-01-13,Comirnaty,45-49,,2
2021-01-13,Comirnaty,45-49,Z,1218
2021-01-13,Comirnaty,45-49,M,486
2021-01-13,Comirnaty,50-54,M,387
2021-01-13,Comirnaty,50-54,Z,1042
2021-01-13,Comirnaty,55-59,Z,990
2021-01-13,SPIKEVAX,55-59,M,1
2021-01-13,Comirnaty,55-59,,5
2021-01-13,Comirnaty,55-59,M,364
2021-01-13,Comirnaty,60-64,Z,664
2021-01-13,Comirnaty,60-64,M,301
2021-01-13,Comirnaty,65-69,Z,429
2021-01-13,Comirnaty,65-69,M,327
2021-01-13,Comirnaty,70-74,Z,351
2021-01-13,Comirnaty,70-74,M,312
2021-01-13,Comirnaty,75-79,Z,338
2021-01-13,Comirnaty,75-79,M,197
2021-01-13,Comirnaty,80+,M,386
2021-01-13,Comirnaty,80+,Z,1317
2021-01-14,SPIKEVAX,16-17,M,1
2021-01-14,Comirnaty,16-17,Z,17
2021-01-14,SPIKEVAX,16-17,Z,2
2021-01-14,Comirnaty,16-17,M,4
2021-01-14,SPIKEVAX,18-24,,1
2021-01-14,SPIKEVAX,18-24,M,10
2021-01-14,Comirnaty,18-24,,1
2021-01-14,SPIKEVAX,18-24,Z,14
2021-01-14,Comirnaty,18-24,,1
2021-01-14,Comirnaty,18-24,Z,306
2021-01-14,Comirnaty,18-24,M,120
2021-01-14,SPIKEVAX,25-29,Z,14
2021-01-14,SPIKEVAX,25-29,M,7
2021-01-14,Comirnaty,25-29,,5
2021-01-14,SPIKEVAX,25-29,,1
2021-01-14,Comirnaty,25-29,Z,408
2021-01-14,Comirnaty,25-29,M,223
2021-01-14,SPIKEVAX,30-34,M,10
2021-01-14,SPIKEVAX,30-34,Z,21
2021-01-14,Comirnaty,30-34,Z,460
2021-01-14,Comirnaty,30-34,M,293
2021-01-14,Comirnaty,30-34,,2
2021-01-14,SPIKEVAX,35-39,M,9
2021-01-14,SPIKEVAX,35-39,Z,32
2021-01-14,Comirnaty,35-39,,2
2021-01-14,Comirnaty,35-39,Z,767
2021-01-14,Comirnaty,35-39,M,327
2021-01-14,SPIKEVAX,40-44,M,10
